Rank (2017),City/Town,Russian,Federal District,Population (2017),Population (2010),Change%
256,Budyonnovsk,Будённовск,"North Caucasus
",62715,64624,-2.9540108937855907
257,Borisoglebsk,Борисоглебск,"Central
",62669,65585,-4.4461385987649615
258,Revda,Ревда,"Ural
",62632,61875,1.2234343434343435
259,Lysva,Лысьва,"Volga
",62592,65918,-5.045662793167269
260,Zelenogorsk,Зеленогорск,"Siberia
",62466,66056,-5.434782608695652
261,Polevskoy,Полевской,"Ural
",62259,64220,-3.0535658673310495
262,Naro-Fominsk,Наро-Фоминск,"Central
",62002,64665,-4.118147374932343
263,Kotlas,Котлас,"Northwest
",61902,60562,2.212608566427793
264,Sibay,Сибай,"Volga
",61054,62763,-2.722941860650383
265,Labinsk,Лабинск,"South
",60889,62864,-3.141702723339272
266,Kumertau,Кумертау,"Volga
",60807,62851,-3.252136004200411
267,Chistopol,Чистополь,"Volga
",60564,60755,-0.3143774174965024
268,Fryazino,Фрязино,"Central
",60408,55369,9.100760353266269
269,Rzhev,Ржев,"Central
",59804,61982,-3.5139233971152914
270,Lesosibirsk,Лесосибирск,"Siberia
",59642,61139,-2.4485189486252636
271,Alexandrov,Александров,"Central
",59328,61551,-3.6116391285275626
272,Belebey,Белебей,"Volga
",59123,60188,-1.7694557054562372
273,Tikhoretsk,Тихорецк,"South
",58982,61823,-4.595377125018197
274,Shuya,Шуя,"Central
",58723,58486,0.4052251820948603
275,Urus-Martan,Урус-Мартан,"North Caucasus
",58588,49070,19.396780110046873
276,Meleuz,Мелеуз,"Volga
",58536,61390,-4.648965629581365
277,Mikhaylovka,Михайловка,"South
",58407,59132,-1.2260704863694785
278,Aleksin,Алексин,"Central
",58329,61732,-5.512538067776842
279,Salsk,Сальск,"South
",58179,61316,-5.11611977297932
280,Pavlovo,Павлово,"Volga
",58163,60698,-4.176414379386471
281,Izberbash,Избербаш,"North Caucasus
",58147,55646,4.494482981705783
282,Vorkuta,Воркута,"Northwest
",58133,70548,-17.597947496739806
283,Shchyokino,Щёкино,"Central
",58088,58139,-0.0877208070314247
284,Tikhvin,Тихвин,"Northwest
",57900,58459,-0.9562257308541029
285,Prokhladny,Прохладный,"North Caucasus
",57879,59601,-2.8892132682337546
286,Nyagan,Нягань,"Ural
",57765,54890,5.237748223720168
287,Lytkarino,Лыткарино,"Central
",57565,55237,4.214566323297789
288,Krasnoturyinsk,Краснотурьинск,"Ural
",57514,59633,-3.553401640031526
289,Krymsk,Крымск,"South
",57254,57382,-0.22306646683629014
290,Neryungri,Нерюнгри,"Far East
",57247,61747,-7.28780345603835
291,Beryozovsky,Берёзовский,"Ural
",57194,51651,10.731641207333837
292,Iskitim,Искитим,"Siberia
",57032,60078,-5.07007556842771
293,Apatity,Апатиты,"Northwest
",56356,59672,-5.5570451803190775
294,Gus-Khrustalny,Гусь-Хрустальный,"Central
",55421,60784,-8.823045538299553
295,Dzerzhinsky,Дзержинский,"Central
",54788,47163,16.167334563110913
296,Volzhsk,Волжск,"Volga
",54519,55659,-2.048186277151943
297,Zhigulyovsk,Жигулёвск,"Volga
",54343,55565,-2.1992261315576354
298,Liski,Лиски,"Central
",54184,55864,-3.0073034512387227
299,Svobodny,Свободный,"Far East
",54156,58778,-7.8634863384259415
300,Krasnokamsk,Краснокамск,"Volga
",53864,51916,3.752215116727021
301,Vyksa,Выкса,"Volga
",53406,56201,-4.973221117061974
302,Vyazma,Вязьма,"Central
",53117,57101,-6.977110733612371
303,Shali,Шали,"North Caucasus
",53016,47708,11.126016600989352
304,Krasnokamensk,Краснокаменск,"Siberia
",52811,55666,-5.1288039377717105
305,Arsenyev,Арсеньев,"Far East
",52767,56750,-7.018502202643171
306,Solnechnogorsk,Солнечногорск,"Central
",52642,52944,-0.5704140223632518
307,Timashyovsk,Тимашёвск,"South
",52527,53924,-2.5906831837400786
308,Belorechensk,Белореченск,"South
",52264,53892,-3.020856527870556
309,Kirishi,Кириши,"Northwest
",51930,52309,-0.7245407100116614
310,Uzlovaya,Узловая,"Central
",51922,55282,-6.077927716073948
311,Gudermes,Гудермес,"North Caucasus
",51776,45631,13.466722184479849
312,Sertolovo,Сертолово,"Northwest
",51307,47457,8.112607202309459
313,Cheremkhovo,Черемхово,"Siberia
",51230,52647,-2.691511387163561
314,Severomorsk,Североморск,"Northwest
",51209,50060,2.2952457051538153
315,Borovichi,Боровичи,"Northwest
",50896,53690,-5.203948593779102
316,Roslavl,Рославль,"Central
",50870,54900,-7.340619307832423
317,Snezhinsk,Снежинск,"Ural
",50759,48810,3.9930342143003483
318,Nazarovo,Назарово,"Siberia
",50397,52817,-4.581858113864854
